date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:37:30	44095/44095	---M-Z	200	added ('OK')	text/html	etag:%22ac3f-5f174eb5-e4bc5d2984cf1784;gz%22	https://theembazaar.com/demo/3xtheme/jio-construction/index.html	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/index.html	(from )
13:37:33	313/313	---M-Z	200	added ('OK')	text/plain	etag:%223c2-60edf6c9-7334a4cc0907ed69;gz%22	https://theembazaar.com/robots.txt		(from )
13:37:34	5430/5430	---M-Z	200	added ('OK')	image/x-icon	etag:%221536-5f174eb4-fc169dcdb859471c;gz%22	https://theembazaar.com/demo/3xtheme/jio-construction/favicon.ico	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/favicon.ico	(from https://theembazaar.com/demo/3xtheme/jio-construction/index.html)
13:37:37	150997/150997	---M-Z	200	added ('OK')	text/css	etag:%2224dd5-5f175ad6-c7d9904da607b5e5;gz%22	https://theembazaar.com/demo/3xtheme/jio-construction/assets/css/bootstrap.min.css	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/css/bootstrap.min.css	(from https://theembazaar.com/demo/3xtheme/jio-construction/index.html)
13:37:37	33233/33233	---M-Z	200	added ('OK')	text/css	etag:%2281d1-5f175ad5-265f6acbeb2912b5;gz%22	https://theembazaar.com/demo/3xtheme/jio-construction/assets/css/font-awesome.css	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/css/font-awesome.css	(from https://theembazaar.com/demo/3xtheme/jio-construction/index.html)
13:37:38	57193/57193	---M-Z	200	added ('OK')	text/css	etag:%22df69-5f175ad7-db92a5a9396a3cc7;gz%22	https://theembazaar.com/demo/3xtheme/jio-construction/assets/css/ionicons.css	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/css/ionicons.css	(from https://theembazaar.com/demo/3xtheme/jio-construction/index.html)
13:37:40	1065/1065	---M-Z	200	added ('OK')	text/css	etag:%22429-5f175ad5-b0d04a5cfa3abfa2;gz%22	https://theembazaar.com/demo/3xtheme/jio-construction/assets/css/flaticon.css	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/css/flaticon.css	(from https://theembazaar.com/demo/3xtheme/jio-construction/index.html)
13:37:41	4261/4261	---M-Z	200	added ('OK')	text/css	etag:%2210a5-5f175ad7-b0095e4e4512eea1;gz%22	https://theembazaar.com/demo/3xtheme/jio-construction/assets/css/jquery.fancybox.css	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/css/jquery.fancybox.css	(from https://theembazaar.com/demo/3xtheme/jio-construction/index.html)
13:37:42	34024/34024	---M-Z	200	added ('OK')	text/css	etag:%2284e8-5f175ad8-9afcc62b740689fa;gz%22	https://theembazaar.com/demo/3xtheme/jio-construction/assets/css/settings.css	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/css/settings.css	(from https://theembazaar.com/demo/3xtheme/jio-construction/index.html)
13:37:43	85358/85358	---M-Z	200	added ('OK')	text/css	etag:%2214d6e-5f175ad8-6922b7fded915b0f;gz%22	https://theembazaar.com/demo/3xtheme/jio-construction/assets/css/layers.css	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/css/layers.css	(from https://theembazaar.com/demo/3xtheme/jio-construction/index.html)
13:37:45	4614/4614	---M-Z	200	added ('OK')	text/css	etag:%221206-5f175ad7-8a3f9c414d321fed;gz%22	https://theembazaar.com/demo/3xtheme/jio-construction/assets/css/owl.carousel.css	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/css/owl.carousel.css	(from https://theembazaar.com/demo/3xtheme/jio-construction/index.html)
13:37:47	170066/170066	---M-Z	200	added ('OK')	text/css	etag:%2229852-5f175ad9-9c525d1598ad22f4;gz%22	https://theembazaar.com/demo/3xtheme/jio-construction/assets/css/style.css	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/css/style.css	(from https://theembazaar.com/demo/3xtheme/jio-construction/index.html)
13:37:48	14755/14755	---M-Z	200	added ('OK')	text/css	etag:%2239a3-5f175ad7-fe555fe430332e32;gz%22	https://theembazaar.com/demo/3xtheme/jio-construction/assets/css/header1.css	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/css/header1.css	(from https://theembazaar.com/demo/3xtheme/jio-construction/index.html)
13:37:48	4833/4833	---M-Z	200	added ('OK')	text/css	etag:%2212e1-5f175ad5-7d049a975f0aa5b0;gz%22	https://theembazaar.com/demo/3xtheme/jio-construction/assets/css/footer1.css	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/css/footer1.css	(from https://theembazaar.com/demo/3xtheme/jio-construction/index.html)
13:37:49	14995/14995	---M-Z	200	added ('OK')	text/css	etag:%223a93-5f175ad6-ab84c84637dc5b27;gz%22	https://theembazaar.com/demo/3xtheme/jio-construction/assets/css/index1.css	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/css/index1.css	(from https://theembazaar.com/demo/3xtheme/jio-construction/index.html)
13:37:50	3467/3467	---M-Z	200	added ('OK')	text/css	etag:%22d8b-5f17717e-a673586d86ccafe8;gz%22	https://theembazaar.com/demo/3xtheme/jio-construction/assets/css/theme-color/default.css	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/css/theme-color/default.css	(from https://theembazaar.com/demo/3xtheme/jio-construction/index.html)
13:37:51	3602/3602	---M--	200	added ('OK')	image/png	etag:%22e12-5f175ae4-ade18c3d0bb2c4be;;;%22	https://theembazaar.com/demo/3xtheme/jio-construction/assets/images/logo.png	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/assets/images/logo.png	(from https://theembazaar.com/demo/3xtheme/jio-construction/index.html)
13:37:52	41860/41860	---M-Z	200	added ('OK')	text/html	etag:%22a384-5f174eb5-175dd83a36e1268b;gz%22	https://theembazaar.com/demo/3xtheme/jio-construction/index2.html	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/index2.html	(from https://theembazaar.com/demo/3xtheme/jio-construction/index.html)
13:37:53	50570/50570	---M-Z	200	added ('OK')	text/html	etag:%22c58a-5f174eb6-9ec7e7ffd1bdd7b3;gz%22	https://theembazaar.com/demo/3xtheme/jio-construction/index3.html	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/index3.html	(from https://theembazaar.com/demo/3xtheme/jio-construction/index.html)
13:37:54	21946/21946	---M-Z	200	added ('OK')	text/html	etag:%2255ba-5f174eb3-8d3aae4f31778e47;gz%22	https://theembazaar.com/demo/3xtheme/jio-construction/about.html	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/about.html	(from https://theembazaar.com/demo/3xtheme/jio-construction/index.html)
13:37:55	23238/23238	---M-Z	200	added ('OK')	text/html	etag:%225ac6-5f174eb3-b50896a8f0f7b37c;gz%22	https://theembazaar.com/demo/3xtheme/jio-construction/about2.html	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/about2.html	(from https://theembazaar.com/demo/3xtheme/jio-construction/index.html)
13:37:56	19351/19351	---M-Z	200	added ('OK')	text/html	etag:%224b97-5f174eb3-d9ff5858a84d7cb3;gz%22	https://theembazaar.com/demo/3xtheme/jio-construction/about3.html	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/about3.html	(from https://theembazaar.com/demo/3xtheme/jio-construction/index.html)
13:37:57	21850/21850	---M-Z	200	added ('OK')	text/html	etag:%22555a-5f174eb4-c0f9b96d5512e17a;gz%22	https://theembazaar.com/demo/3xtheme/jio-construction/history.html	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/history.html	(from https://theembazaar.com/demo/3xtheme/jio-construction/index.html)
13:37:58	19390/19390	---M-Z	200	added ('OK')	text/html	etag:%224bbe-5f174eb5-4ec0a3b414692a3c;gz%22	https://theembazaar.com/demo/3xtheme/jio-construction/career.html	/Users/apple/websites/construction-5/theembazaar.com/demo/3xtheme/jio-construction/career.html	(from https://theembazaar.com/demo/3xtheme/jio-construction/index.html)
